# Produced by delphy version 0.99 (build 2020, commit 8e1dda4)
# Invocation: ../delphy <DASH-DASH>v0-in-fasta delphy_inputs/ebola.fasta <DASH-DASH>v0-init-heuristic <DASH-DASH>v0-steps 1000000000 <DASH-DASH>v0-out-log-file delphy_outputs_alpha/ebola_delphy_alpha.log <DASH-DASH>v0-log-every 200000 <DASH-DASH>v0-out-trees-file delphy_outputs_alpha/ebola_delphy_alpha.trees <DASH-DASH>v0-tree-every 1000000 <DASH-DASH>v0-site-rate-heterogeneity <DASH-DASH>v0-out-beast-xml beast2_run_alpha/ebola_alpha.xml
Sample	posterior_for_Delphy	likelihood_really_logG	prior	treeLikelihood_really_logG	TreeHeight	clockRate	gammaShape	kappa	CoalescentExponential	ePopSize	growthRate	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	
20800000	-46031	-26704.5	-19326.5	-26704.5	0.328467	0.00140312	1.07474	10.5052	51.4102	0.284788	6.84421	0.317712	0.209456	0.201999	0.270833
21000000	-42873.8	-26686.5	-16187.3	-26686.5	0.314884	0.00199204	2.32569	7.58348	106.441	0.112356	4.94951	0.320064	0.214463	0.196805	0.268668
21200000	-45823.8	-26699.5	-19124.3	-26699.5	0.345679	0.00153091	1.11232	6.67876	112.916	0.103853	0.325092	0.31656	0.214907	0.203619	0.264914
21400000	-46097.7	-26673.5	-19424.2	-26673.5	0.309073	0.00261528	1.14057	5.30544	133.802	0.0849779	4.76595	0.321897	0.21067	0.20023	0.267202
21600000	-39697.2	-26688.7	-13008.5	-26688.7	0.290934	0.00185318	3.7032	6.14347	110.87	0.125664	6.85105	0.317476	0.215385	0.19719	0.269949
21800000	-40103.1	-26670.2	-13432.9	-26670.2	0.275073	0.00247561	3.50462	10.0473	150.718	0.0647585	6.83097	0.323661	0.217377	0.190377	0.268585
22000000	-45460.2	-26658.6	-18801.6	-26658.6	0.273983	0.00285344	1.35579	10.2404	151.972	0.0764935	6.97072	0.316397	0.216892	0.197431	0.269279
22200000	-44967.2	-26667.9	-18299.3	-26667.9	0.277935	0.00207752	0.749319	7.57424	119.666	0.109132	5.99863	0.31921	0.215094	0.194144	0.271551
22400000	-44659.8	-26674	-17985.8	-26674	0.336084	0.00175357	1.72973	20.1893	117.02	0.0847855	2.17606	0.313835	0.218902	0.197872	0.26939
22600000	-45411.4	-26688.9	-18722.5	-26688.9	0.275354	0.00285192	1.37169	11.594	118.998	0.107185	6.28971	0.3233	0.214961	0.194644	0.267095
22800000	-41989.8	-26666.3	-15323.5	-26666.3	0.27244	0.00158068	0.496264	11.2896	88.3815	0.159577	6.74813	0.323062	0.214385	0.198681	0.263873
23000000	-45892.3	-26669	-19223.3	-26669	0.297786	0.00166058	0.95247	6.39178	106.022	0.126557	5.71815	0.31772	0.214202	0.198875	0.269203
23200000	-40953.6	-26686	-14267.6	-26686	0.278157	0.00184723	3.13601	10.8297	110.255	0.107481	6.88694	0.32231	0.21279	0.19484	0.27006
23400000	-37474.5	-26688.7	-10785.8	-26688.7	0.279717	0.00211226	4.9086	6.44635	99.2117	0.145336	9.11763	0.313517	0.218357	0.196142	0.271984
23600000	-44529.3	-26689.5	-17839.8	-26689.5	0.32569	0.00192189	1.79677	12.8982	99.373	0.164101	9.15813	0.32254	0.210578	0.195756	0.271126
23800000	-41098.4	-26688.2	-14410.2	-26688.2	0.296606	0.00224139	3.08518	8.30091	113.751	0.131958	4.96153	0.3189	0.212384	0.194886	0.27383
24000000	-46304.3	-26684.3	-19620	-26684.3	0.268931	0.00187329	0.968586	8.3125	113.433	0.138547	8.18441	0.316514	0.211983	0.197588	0.273915
